Sl. No.,STATE/U.T.,Enrolment in Class IX - Boys,Enrolment in Class IX - Girls,Enrolment in Class IX - Total,Enrolment in Class X - Boys,Enrolment in Class X - Girls,Enrolment in Class X - Total,Enrolment in Class IX & X - Boys,Enrolment in Class IX & X - Girls,Enrolment in Class IX & X - Total,Enrolment in Class Total (I to X)  - Boys,Enrolment in Class Total (I to X) - Girls,Enrolment in Class Total (I to X) - Total
1,Andaman  Nicobar Islands,2133,1847,3980,1679,1593,3272,3812,3440,7252,21699,20388,42087
2,Andhra Pradesh,359101,337303,696404,355213,325571,680784,714314,662874,1377188,4305124,4176965,8482089
3,Arunachal Pradesh,5726,4724,10450,4927,4307,9234,10653,9031,19684,123686,112042,235728
4,Assam,142243,150197,292440,102457,104620,207077,244700,254817,499517,2213180,2238227,4451407
5,Bihar,400915,319167,720082,331568,246099,577667,732483,565266,1297749,9850985,8836403,18687388
6,Chandigarh,408,339,747,307,309,616,715,648,1363,6147,5643,11790
7,Chhattisgarh,125920,114057,239977,112628,98516,211144,238548,212573,451121,2089399,1973693,4063092
8,Dadra  Nagar Haveli,1333,939,2272,1048,696,1744,2381,1635,4016,24464,21328,45792
9,Daman  Diu,656,617,1273,476,561,1037,1132,1178,2310,8505,8027,16532
10,Delhi,9957,9266,19223,7568,6901,14469,17525,16167,33692,114770,103405,218175
11,Goa,4351,3918,8269,3170,3087,6257,7521,7005,14526,47873,42961,90834
12,Gujarat,232603,150847,383450,190450,123898,314348,423053,274745,697798,3460091,2881347,6341438
13,Haryana,123252,105172,228424,109385,91937,201322,232637,197109,429746,1695675,1445187,3140862
14,Himachal Pradesh,49020,45071,94091,52853,49692,102545,101873,94763,196636,568993,522360,1091353
15,Jammu  Kashmir,64308,50580,114888,42439,32516,74955,106747,83096,189843,855745,744799,1600544
16,Jharkhand,123543,98377,221920,97574,72250,169824,221117,170627,391744,2920096,2778489,5698585
17,Karnataka,265338,230612,495950,218437,195390,413827,483775,426002,909777,3164343,2916078,6080421
18,Kerala,197247,179466,376713,175916,168248,344164,373163,347714,720877,1906263,1780369,3686632
19,Lakshadweep,333,365,698,280,383,663,613,748,1361,3681,3896,7577
20,Madhya Pradesh,302869,250050,552919,214559,159729,374288,517428,409779,927207,5620425,5496550,11116975
21,Maharashtra,484114,412208,896322,438564,364164,802728,922678,776372,1699050,5685402,5030873,10716275
22,Manipur,11500,10991,22491,10286,9910,20196,21786,20901,42687,212466,206770,419236
23,Meghalaya,8098,9107,17205,6286,6916,13202,14384,16023,30407,246966,253518,500484
24,Mizoram,2552,2289,4841,2381,2064,4445,4933,4353,9286,59298,52192,111490
25,Nagaland,4997,4963,9960,3497,3381,6878,8494,8344,16838,120309,116018,236327
26,Orissa,219115,205909,425024,170414,162223,332637,389529,368132,757661,3172101,2993301,6165402
27,Puducherry,4392,3822,8214,3185,3142,6327,7577,6964,14541,44451,40480,84931
28,Punjab,105185,88585,193770,95014,82125,177139,200199,170710,370909,1354169,1130847,2485016
29,Rajasthan,331778,204128,535906,290851,174758,465609,622629,378886,1001515,5481640,4409345,9890985
30,Sikkim,3130,3440,6570,2484,2661,5145,5614,6101,11715,56792,59280,116072
31,Tamil Nadu,276062,232779,508841,219937,201934,421871,495999,434713,930712,2953931,2730494,5684425
32,Tripura,24496,23252,47748,18543,16838,35381,43039,40090,83129,308669,291802,600471
33,Uttar Pradesh,803307,635728,1439035,822785,622622,1445407,1626092,1258350,2884442,15344149,14291357,29635506
34,Uttarakhand,65205,53822,119027,65307,56218,121525,130512,110040,240552,765301,711122,1476423
35,West Bengal,408756,437444,846200,321338,325625,646963,730094,763069,1493163,5509861,5586250,11096111
INDIA,INDIA,5163943,4381381,9545324,4493806,3720884,8214690,9657749,8102265,17760014,80316649,74011806,154328455
